"","ID","age","gender","group","image","q1","q2","q3","q4","q5","q6","q7","q8","q9","q10","q11","condition","Trial","artist","genre"
"1",1,21,"Female","0A","images_rothko\abstract_4.png",6,5,3,3,5,4,"no",7,7,6,"yes",0,1,"rothko","abstract"
"2",1,21,"Female","0A","images_rothko\abstract_5.png",6,5,4,5,5,5,"no",7,7,6,"yes",0,2,"rothko","abstract"
"3",1,21,"Female","0A","images_rothko\abstract_10.png",4,3,2,4,5,4,"no",7,7,6,"yes",0,3,"rothko","abstract"
"4",1,21,"Female","0A","images_rothko\abstract_2.png",6,5,4,3,5,4,"no",7,7,6,"yes",0,4,"rothko","abstract"
"5",1,21,"Female","0A","images_rothko\abstract_7.png",5,5,3,5,4,3,"no",7,7,6,"yes",0,5,"rothko","abstract"
"6",1,21,"Female","0A","images_rothko\abstract_8.png",3,3,2,3,4,2,"no",7,7,6,"yes",0,6,"rothko","abstract"
"7",1,21,"Female","0A","images_rothko\abstract_1.png",7,6,6,5,5,4,"no",7,7,6,"yes",0,7,"rothko","abstract"
"8",1,21,"Female","0A","images_rothko\abstract_6.png",6,7,5,6,5,5,"no",7,7,6,"yes",0,8,"rothko","abstract"
"9",1,21,"Female","0A","images_rothko\abstract_9.png",5,4,2,2,4,3,"no",7,7,6,"yes",0,9,"rothko","abstract"
"10",1,21,"Female","0A","images_rothko\abstract_3.png",7,6,7,6,5,5,"no",7,7,6,"yes",0,10,"rothko","abstract"
"11",1,21,"Female","0A","images_pollock\abstract_13.png",7,7,6,6,7,5,"yes",7,7,6,"yes",0,11,"pollock","abstract"
"12",1,21,"Female","0A","images_pollock\abstract_20.png",7,6,6,5,3,4,"no",7,7,6,"yes",0,12,"pollock","abstract"
"13",1,21,"Female","0A","images_pollock\abstract_14.png",5,6,2,2,5,4,"no",7,7,6,"yes",0,13,"pollock","abstract"
"14",1,21,"Female","0A","images_pollock\abstract_12.png",7,6,6,6,5,5,"no",7,7,6,"yes",0,14,"pollock","abstract"
"15",1,21,"Female","0A","images_pollock\abstract_17.png",7,6,5,2,5,4,"no",7,7,6,"yes",0,15,"pollock","abstract"
"16",1,21,"Female","0A","images_pollock\abstract_18.png",6,6,7,4,4,3,"no",7,7,6,"yes",0,16,"pollock","abstract"
"17",1,21,"Female","0A","images_pollock\abstract_11.png",6,7,3,4,4,3,"no",7,7,6,"yes",0,17,"pollock","abstract"
"18",1,21,"Female","0A","images_pollock\abstract_16.png",7,7,6,6,4,4,"no",7,7,6,"yes",0,18,"pollock","abstract"
"19",1,21,"Female","0A","images_pollock\abstract_15.png",5,5,2,2,3,3,"no",7,7,6,"yes",0,19,"pollock","abstract"
"20",1,21,"Female","0A","images_schiele\fig_20.png",6,6,3,5,5,4,"yes",7,7,6,"yes",0,20,"schiele","fig"
"21",1,21,"Female","0A","images_schiele\fig_15.png",5,4,3,4,4,4,"no",7,7,6,"yes",0,21,"schiele","fig"
"22",1,21,"Female","0A","images_schiele\fig_14.png",6,5,2,3,3,4,"no",7,7,6,"yes",0,22,"schiele","fig"
"23",1,21,"Female","0A","images_schiele\fig_16.png",6,5,2,3,4,3,"no",7,7,6,"yes",0,23,"schiele","fig"
"24",1,21,"Female","0A","images_schiele\fig_11.png",6,6,2,4,5,4,"no",7,7,6,"yes",0,24,"schiele","fig"
"25",1,21,"Female","0A","images_schiele\fig_19.png",7,5,5,4,4,4,"yes",7,7,6,"yes",0,25,"schiele","fig"
"26",1,21,"Female","0A","images_schiele\fig_12.png",6,6,3,4,3,4,"no",7,7,6,"yes",0,26,"schiele","fig"
"27",1,21,"Female","0A","images_schiele\fig_13.png",6,6,3,4,4,3,"no",7,7,6,"yes",0,27,"schiele","fig"
"28",1,21,"Female","0A","images_schiele\fig_18.png",5,5,2,3,3,4,"no",7,7,6,"yes",0,28,"schiele","fig"
"29",1,21,"Female","0A","images_schiele\fig_17.png",7,6,3,5,4,5,"no",7,7,6,"yes",0,29,"schiele","fig"
"30",1,21,"Female","0A","images_chagall\fig_8.png",5,5,3,2,6,3,"no",7,7,6,"yes",0,30,"chagall","fig"
"31",1,21,"Female","0A","images_chagall\fig_10.png",7,6,5,6,6,4,"no",7,7,6,"yes",0,31,"chagall","fig"
"32",1,21,"Female","0A","images_chagall\fig_5.png",6,5,1,5,5,4,"no",7,7,6,"yes",0,32,"chagall","fig"
"33",1,21,"Female","0A","images_chagall\fig_7.png",6,5,2,4,3,4,"no",7,7,6,"yes",0,33,"chagall","fig"
"34",1,21,"Female","0A","images_chagall\fig_6.png",5,4,4,3,5,4,"no",7,7,6,"yes",0,34,"chagall","fig"
"35",1,21,"Female","0A","images_chagall\fig_1.png",6,5,1,6,7,5,"no",7,7,6,"yes",0,35,"chagall","fig"
"36",1,21,"Female","0A","images_chagall\fig_9.png",5,5,3,6,5,4,"no",7,7,6,"yes",0,36,"chagall","fig"
"37",1,21,"Female","0A","images_chagall\fig_4.png",6,5,1,5,4,4,"no",7,7,6,"yes",0,37,"chagall","fig"
"38",1,21,"Female","0A","images_chagall\fig_2.png",6,5,1,5,3,4,"no",7,7,6,"yes",0,38,"chagall","fig"
"39",1,21,"Female","0A","images_chagall\fig_3.png",6,5,5,3,4,4,"no",7,7,6,"yes",0,39,"chagall","fig"
"40",2,28,"Female","1F","images_schiele\fig_11.png",4,4,2,2,5,5,"no",6,7,6,"yes",1,1,"schiele","fig"
"41",2,28,"Female","1F","images_schiele\fig_19.png",5,3,2,1,2,2,"no",6,7,6,"yes",1,2,"schiele","fig"
"42",2,28,"Female","1F","images_schiele\fig_20.png",6,5,4,2,3,3,"no",6,7,6,"yes",1,3,"schiele","fig"
"43",2,28,"Female","1F","images_schiele\fig_12.png",4,4,2,1,4,2,"no",6,7,6,"yes",1,4,"schiele","fig"
"44",2,28,"Female","1F","images_schiele\fig_16.png",6,6,5,3,1,2,"no",6,7,6,"yes",1,5,"schiele","fig"
"45",2,28,"Female","1F","images_schiele\fig_18.png",5,5,2,2,2,2,"no",6,7,6,"yes",1,6,"schiele","fig"
"46",2,28,"Female","1F","images_schiele\fig_17.png",5,4,1,1,3,3,"no",6,7,6,"yes",1,7,"schiele","fig"
"47",2,28,"Female","1F","images_schiele\fig_13.png",5,5,1,4,4,2,"no",6,7,6,"yes",1,8,"schiele","fig"
"48",2,28,"Female","1F","images_schiele\fig_15.png",6,6,4,1,4,2,"no",6,7,6,"yes",1,9,"schiele","fig"
"49",2,28,"Female","1F","images_schiele\fig_14.png",5,4,2,2,2,2,"no",6,7,6,"yes",1,10,"schiele","fig"
"50",2,28,"Female","1F","images_chagall\fig_9.png",5,5,1,4,2,4,"no",6,7,6,"yes",1,11,"chagall","fig"
"51",2,28,"Female","1F","images_chagall\fig_4.png",5,5,2,4,4,4,"no",6,7,6,"yes",1,12,"chagall","fig"
"52",2,28,"Female","1F","images_chagall\fig_5.png",7,7,5,1,1,1,"no",6,7,6,"yes",1,13,"chagall","fig"
"53",2,28,"Female","1F","images_chagall\fig_6.png",6,5,4,4,1,3,"no",6,7,6,"yes",1,14,"chagall","fig"
"54",2,28,"Female","1F","images_chagall\fig_2.png",5,4,1,5,4,5,"no",6,7,6,"yes",1,15,"chagall","fig"
"55",2,28,"Female","1F","images_chagall\fig_3.png",6,5,4,4,1,4,"no",6,7,6,"yes",1,16,"chagall","fig"
"56",2,28,"Female","1F","images_chagall\fig_7.png",3,2,1,5,2,2,"no",6,7,6,"yes",1,17,"chagall","fig"
"57",2,28,"Female","1F","images_chagall\fig_1.png",5,5,2,1,1,3,"no",6,7,6,"yes",1,18,"chagall","fig"
"58",2,28,"Female","1F","images_chagall\fig_10.png",5,5,3,5,4,3,"no",6,7,6,"yes",1,19,"chagall","fig"
"59",2,28,"Female","1F","images_chagall\fig_8.png",6,6,4,1,1,3,"no",6,7,6,"yes",1,20,"chagall","fig"
"60",2,28,"Female","1F","images_rothko\abstract_10.png",2,2,1,1,3,1,"no",6,7,6,"yes",1,21,"rothko","abstract"
"61",2,28,"Female","1F","images_rothko\abstract_6.png",2,2,1,1,3,1,"no",6,7,6,"yes",1,22,"rothko","abstract"
"62",2,28,"Female","1F","images_rothko\abstract_2.png",2,2,2,1,1,1,"no",6,7,6,"yes",1,23,"rothko","abstract"
"63",2,28,"Female","1F","images_rothko\abstract_8.png",1,1,1,1,3,1,"no",6,7,6,"yes",1,24,"rothko","abstract"
"64",2,28,"Female","1F","images_rothko\abstract_7.png",1,1,1,1,4,1,"no",6,7,6,"yes",1,25,"rothko","abstract"
"65",2,28,"Female","1F","images_rothko\abstract_3.png",1,1,1,5,4,5,"no",6,7,6,"yes",1,26,"rothko","abstract"
"66",2,28,"Female","1F","images_rothko\abstract_4.png",2,2,1,2,1,1,"no",6,7,6,"yes",1,27,"rothko","abstract"
"67",2,28,"Female","1F","images_rothko\abstract_9.png",1,1,1,5,5,5,"no",6,7,6,"yes",1,28,"rothko","abstract"
"68",2,28,"Female","1F","images_rothko\abstract_5.png",2,3,1,4,4,4,"no",6,7,6,"yes",1,29,"rothko","abstract"
"69",2,28,"Female","1F","images_rothko\abstract_1.png",5,5,5,1,1,1,"no",6,7,6,"yes",1,30,"rothko","abstract"
"70",2,28,"Female","1F","images_pollock\abstract_14.png",3,5,1,4,4,5,"no",6,7,6,"yes",1,31,"pollock","abstract"
"71",2,28,"Female","1F","images_pollock\abstract_19.png",5,6,2,4,4,4,"no",6,7,6,"yes",1,32,"pollock","abstract"
"72",2,28,"Female","1F","images_pollock\abstract_20.png",4,6,1,5,5,4,"no",6,7,6,"yes",1,33,"pollock","abstract"
"73",2,28,"Female","1F","images_pollock\abstract_17.png",6,7,6,4,4,4,"yes",6,7,6,"yes",1,34,"pollock","abstract"
"74",2,28,"Female","1F","images_pollock\abstract_18.png",6,6,7,4,4,4,"yes",6,7,6,"yes",1,35,"pollock","abstract"
